곡류 및 그 제품,감자 및 전분류,당류 및 그 제품,두류 및 그 제품,종실류 및 그 제품,채소류,버섯류,과실류,해조류,음료 및 주류,조미료류,유지류(식물성),기타(식물성),육류 및 그 제품,난류,어패류,우유류 및 그 제품,유지류(동물성),Year,Age,Gender
303,37.71,12.5,37.65,6.69,344.26,5.81,178.2,15.6,402.47,44.33,10.41,1.66,123.98,31.96,89.79,91.69,0.17,2013,30-49,All
298.09,55.7,11.75,44.51,11.68,382.38,5.22,218.8,16.74,250.44,37.5,7.68,3.8,79.78,22.77,88,71.09,0.09,2013,50-64,All
286.6,31.98,8.52,41.54,8.09,306.59,3.91,190.29,37.57,86.49000000000001,25.88,4.69,0.67,54.16,14.06,93.41,49.72,0.06,2013,65,All
146.66,19.27,3.5,26.93,3.69,60.44,3.29,164.01,16.36,40.769999999999996,7.07,2.92,0.18,43.73,15.74,28.53,212.78,0.07,2014,1-2,All
203.02,30.73,10.53,22.06,4.89,98.98,3.31,208.5,10.37,60.580000000000005,16.61,4.46,0.08,58.81,25.74,34.24,220.45,0.18,2014,3-5,All
289.15,26.68,14.5,19.69,3.04,170.92,5.22,182,14.38,102.01,26.15,6.35,0.15,113.72,32.02,55.37,231.2,0.29,2014,6-11,All
346.85,36.35,15.44,25.19,3.17,216.14,7.21,164.46,13.57,243.76,38.38,8.95,0.25,159.54,27.11,69.42,159.9,0.63,2014,12-18,All
302.74,26.58,13.4,34.51,4.91,256.4,6.49,117.18,15.66,469.96000000000004,47.01,11.19,0.13,149.85,34.4,71.52,109.1,0.48,2014,19-29,All
292.25,42.81,12.13,35.63,8.71,351.8,6.91,200.55,24.42,404.05999999999995,43.3,9.7,0.49,122.13,31.16,97.25,83.08,0.21,2014,30-49,All
298.33,55.53,9.96,43.84,12.25,386.59,5.91,254.67,29.59,226.99,39.18,8.24,5.46,79.94,24.51,116.71,75.61,0.12,2014,50-64,All
285.87,40.76,8.37,43.07,8.3,328.42,3.35,165.67,26.46,98.58,26.19,4.54,0.35,52.78,12.17,93.08,50.67,0.15,2014,65,All
152.88,15.47,7.65,24.74,2.19,55.36,2.24,156.03,12.29,37.91,9.4,2.43,0.03,31.83,25.36,35.87,251.26,0.13,2015,1-2,All
215.44,23.53,10.3,20.78,3.12,105.1,3.51,183.31,12.23,73.02,19.22,4.49,0.04,52.13,30.49,37.35,220.62,0.32,2015,3-5,All
299.33,26.24,13.87,20.89,3.49,159.51,4.39,203.61,20.76,122.56,28.37,6.76,0.27,113.27,35.85,65.63,199.78,0.5,2015,6-11,All
333.21,36.11,16.32,25.89,3.07,217.55,5.04,134.93,14.14,198.5,38.04,8.76,0.35,157.83,31.47,52.12,162.93,0.41,2015,12-18,All
306.23,39.4,16.94,28.56,5.15,258.03,5.4,156.63,19.5,499.45000000000005,46.43,11.5,1.75,174.18,33.03,74.67,116.8,0.5,2015,19-29,All
306.26,41.03,12.12,35.41,6.97,333.82,7,199.58,29.45,424.19,48.99,9.82,0.28,122.52,34.76,112.03,86.1,0.43,2015,30-49,All
305.49,40.7,10.5,43.72,13.71,370.64,6.56,258.22,33.96,259.34,35.17,7.91,1.3,74.34,23.7,126.55,71.19,0.15,2015,50-64,All
286.6,31.98,8.52,41.54,8.09,306.59,3.91,190.29,37.57,86.49000000000001,25.88,4.69,0.67,54.16,14.06,93.41,49.72,0.06,2015,65,All
151.97,28.24,8.47,18.64,1.41,63.36,3.63,131.07,15.6,30.98,9.38,3.07,0.1,41.67,21.14,32.51,230.03,0.07,2016,1-2,All
207.41,23.35,8,23.45,3.27,93.89,3.56,194.38,12.8,58.23,15.17,4.13,0.07,53.67,28.21,41.33,234.82,0.14,2016,3-5,All
288.45,25.25,12.51,21.92,3.41,149.13,5.85,189.36,13.76,107.5,25.83,6.15,0.55,108,34.15,45.86,208.87,0.17,2016,6-11,All
328.34,26.6,12.54,25.65,2.77,197.51,4.74,140.49,20.14,195.72,36.92,8.92,0.02,166.22,30.15,54.81,145.96,0.23,2016,12-18,All
295.18,26.9,14.09,34.75,4.64,228.41,5.68,112.49,13.27,452.09,42.9,10.13,0.18,182.79,33.86,66.81,114.14,0.48,2016,19-29,All
299.27,37.87,10.88,32.3,6.86,314.32,7.45,189.95,26.39,427.79999999999995,40.5,9.13,0.16,136.65,35.08,108.7,85.42,0.28,2016,30-49,All
275.89,44.16,9.73,39.22,9.25,356.06,6.06,262.34,31.11,277.01,34.11,6.53,0.81,85.23,30.91,106.45,80.15,0.12,2016,50-64,All
266.64,44.15,8.23,46.32,6.85,300.21,3.53,199.56,33.05,93.36000000000001,24.8,4.46,0.32,51.3,18.39,83.48,49.38,0.05,2016,65,All
159,19.96,6.49,24.5,2.69,55.66,3.87,140.69,15.85,52.63,9.14,2.95,0.01,42.71,23.53,35.1,250.8,0.08,2017,1-2,All
207.11,19.35,13.15,27.54,2.01,94.22,4.67,146.2,19.1,89.7,16.91,4.95,0.04,67.41,34.95,47.61,241.56,0.26,2017,3-5,All
286.31,29.64,16.45,26.43,4,143.76,4.35,152.9,23.96,110.67999999999999,25.65,6.91,0.09,109.78,31.5,69.28,218.64,0.24,2017,6-11,All
342.27,29.78,13.88,24.99,3.23,182.18,5.07,109.46,24.37,216.32,39.04,8.66,0.05,151.3,28.09,80.31,171.45,0.45,2017,12-18,All
288.33,28.04,13.19,22.15,5.93,233.47,5.14,80.66,18.41,434.91,41.33,9.45,0.18,179.08,28.2,72.58,117.8,0.51,2017,19-29,All
297.3,32.9,12.01,34.78,6.89,320.48,7.3,155.31,29.35,471.77,42.11,9.01,0.74,149.03,29,115.37,83.76,0.39,2017,30-49,All
289.28,40.95,9.39,42.03,7.43,359.39,5.92,231.04,36.25,269.78,34.74,6.68,0.75,82.26,22.72,127.36,73.71,0.13,2017,50-64,All
270.22,37.64,8.1,39.66,8.33,298.86,4.14,186.47,28.1,105.32,25.07,4.33,0.4,57.11,13.94,90.85,64.23,0.04,2017,65,All
158.88,17.37,8.06,34.03,3.23,65.53,2.95,128.86,22.62,49.2,11.98,3.26,0,42.71,22.42,53.6,223.1,0.05,2018,1-2,All
190.26,25.72,12.13,19.19,1.7,92.03,4.31,131.35,24.62,71.41999999999999,12.97,4.33,0,60.45,26.79,48.49,256.28,0.15,2018,3-5,All
266.96,23.9,14.61,15.48,1.89,133.21,5.35,125.31,24.68,108.05000000000001,23.19,5.83,0,103.61,30.97,59.52,211.46,0.31,2018,6-11,All
334.38,32.8,15.67,28.33,3.34,187.01,6.4,90.1,19.04,213.23000000000002,36.11,7.34,0,165.41,33.33,74.09,176.98,0.51,2018,12-18,All
306.68,28.26,11.76,26.74,3.19,207.59,6.49,76.22,15.52,456.51,42.42,7.74,0.62,173.64,30.61,81.59,116.34,0.79,2018,19-29,All
294.56,25.93,9.7,31.57,5.61,290.74,6.54,128.1,24.58,444.38,40.95,7.56,0.45,147.9,35.03,115.64,89.27,0.38,2018,30-49,All
286.05,33.41,8.26,44.27,8.31,337.12,6.74,195.77,33.04,257.34000000000003,33.73,5.76,0.35,96.02,30.01,111.78,83.41,0.21,2018,50-64,All
272.07,28.74,6.26,43.39,8.13,293.16,3.73,169.59,28.09,114.7,27.02,3.79,0.35,59.32,19.12,90.44,59.7,0.03,2018,65,All
129.82,20.82,3.48,56.72,4.39,66.88,1.85,131.03,1.96,18.87,9.35,1.98,0.06,26.41,16.51,13.81,212.04,0.05,2008,1-2,Female
190.14,28.95,4.24,24.48,1.75,99.5,1.68,149.53,4.3,22.34,15.05,3.37,0.03,41.85,17.59,15.18,197.64,0.12,2008,3-5,Female
247.47,30.07,5.16,23.3,1.78,159.55,2.65,164.54,3.7,45.49,24.87,5.75,0.06,67.74,24.82,32.89,179.04,0.2,2008,6-11,Female
280.99,28.01,7.7,18.55,2.6,190.71,4.84,122.36,2.83,120.21,32.14,6.99,0.2,96.08,24.73,31.14,130.58,0.54,2008,12-18,Female
241.93,30.62,7.08,32.25,2.89,233.8,5.12,138.64,4.02,198.66,32.84,8.07,0.29,79.78,26.63,45.96,95.69,0.49,2008,19-29,Female
261.82,42.23,6.97,31.25,3.76,313.83,4.56,211.95,6.81,117.96,30.71,6.64,0.3,64.43,19.5,46.87,71.86,0.18,2008,30-49,Female
279.11,52.47,5.75,41.23,3.5,321.38,3.69,230.21,9.68,46.28,26.38,5.07,0.21,54.4,12,39.6,61.27,0.11,2008,50-64,Female
251.89,28.8,3.48,32.05,2.86,256.15,1.84,111.76,3.68,31.36,21.82,2.8,0.18,27.15,5.57,28.85,36.14,,2008,65,Female
139.7,15.5,2.9,30.8,0.8,53.4,2.5,128.9,2,17.9,8.5,2.2,0.1,24.3,19.8,12.5,249.1,0,2009,1-2,Female
179.5,19,5.6,19.3,1.2,89.6,2.7,131.1,3.4,28.6,13.9,3.4,0.1,39.5,25.4,20.2,205.1,0.2,2009,3-5,Female
243.7,29,6.3,21.8,2.1,145.1,3.9,160.7,3.1,40.5,20.7,5.3,0.1,67.1,28.2,26,193.2,0.3,2009,6-11,Female
292.4,32.2,7.7,30,1.6,185.4,3.9,148.9,3.1,69.5,31.5,5.9,0.6,82.5,26,32.6,152.1,0.4,2009,12-18,Female
242.7,33.9,7.6,29.4,2,243.3,5.8,174.6,3.9,239.8,33.8,7.7,0.2,86.2,24.9,42.9,115.2,0.3,2009,19-29,Female
266,40.9,6.8,32.8,2.7,292.9,5.8,217.7,5.3,149.8,30.5,6.5,0.5,66.5,23.8,45.6,77,0.1,2009,30-49,Female
282.8,57.9,5.6,31.9,3.5,301.5,3.7,234.1,5.4,84.4,25.2,4.9,0.5,48.5,11.7,41.7,60.1,0.1,2009,50-64,Female
266.2,34.5,3.4,30.5,1.9,257.3,1.8,125.5,3.2,20.3,22.2,2.8,0.3,32,6.9,27.4,34.5,,2009,65,Female
166.24,26.43,4.31,34.39,0.72,60.54,2.15,177.04,2.34,15.07,8.11,2.36,1.39,29.49,17.11,13.44,242.8,0.07,2010,1-2,Female
201.27,25.74,5.3,18.83,1.16,93.44,2.32,144.68,3.17,36.68,14.02,4.07,0.06,50.5,22.63,21.49,264.07,0.16,2010,3-5,Female
281.91,35.01,10.3,21.47,1.32,159.78,4.3,168.16,2.5,62.96,25.96,5.54,1.78,86.2,25.61,29.4,227.5,0.11,2010,6-11,Female
306.93,35.17,12.41,22.11,1.61,181.8,6.37,136.26,2.66,132.4,36.17,8.71,1.33,105.12,30.37,37.57,171.58,0.47,2010,12-18,Female
267.42,37.8,10.93,25.15,2.63,236.1,3.96,184.14,2.83,311.81,33.27,8.39,0.53,102.97,24.13,48.18,137.45,0.29,2010,19-29,Female
280.01,37.96,8.42,36.91,2.77,300.06,6.08,223.66,6.15,196.72,33.21,7.42,1.92,75.82,25.51,57.94,98.51,0.14,2010,30-49,Female
282.12,44.69,7.69,34.12,4.48,335.53,3.95,278.42,5.44,100.34,31.66,5.9,1.91,64.02,15.82,43.79,86.44,0.04,2010,50-64,Female
296.88,33.43,3.98,30.66,2.14,257.38,3.64,125.25,4.27,46.79,22.88,3,0.68,43.4,7.24,25.05,42.35,,2010,65,Female
140.66,17.62,2.28,54.37,1.48,44.42,0.69,111.32,1.31,14.42,5.49,2.43,0.42,24.2,19.07,16.69,248.41,0.05,2011,1-2,Female
214.32,19.91,6.02,24.11,2.46,94.1,3.07,121.23,2.9,30.09,17.05,4.25,0.29,43.78,29.09,20.89,299.67,0.11,2011,3-5,Female
275.45,36.1,11.66,21.47,1.03,142.89,4.59,153.45,2.77,72.36,22.1,5.75,0.2,75.88,28.92,23.27,243.97,0.32,2011,6-11,Female
299.37,37.59,14.49,30.54,1.79,177.24,4.18,149.53,2.78,144.77,32.6,6.45,0.16,109.83,23.6,35.12,147.42,0.47,2011,12-18,Female
260.29,33.22,12.42,32.99,2.83,220.55,5.43,143.72,3.08,308.55,33.79,9.26,0.36,125.5,24.7,38.04,92.44,0.46,2011,19-29,Female
283.75,38.69,8.75,36.31,3.42,306.59,6.62,192.78,4.16,179.59,34.83,7.3,0.29,79.29,26.79,51.09,95.97,0.2,2011,30-49,Female
283.4,49.4,7.73,35.45,3.86,300.95,4.12,237.56,5.55,141.06,28.56,5.63,0.93,54.5,14.85,43.78,69.19,0.06,2011,50-64,Female
270.68,35.39,4.37,33.17,2.25,251.13,1.63,118.19,3.14,44.17,19.21,3.17,0.36,37.73,6.4,29.11,38.32,,2011,65,Female
146.72,13.96,3.91,27.26,0.52,52.64,1.52,127.86,1.75,25.01,5.57,1.73,,24.12,32.91,14.66,294.58,0.02,2012,1-2,Female
194.29,18.9,9.58,26.95,1.96,78.34,2.55,174.84,3.35,15.85,9.58,3.63,0.79,40.22,27.53,17.67,226.12,0.25,2012,3-5,Female
259.81,23.72,8.18,16.83,2.3,136.29,3.08,152.14,3.96,65.43,17.09,4.49,5.22,82.58,20.78,25.3,205.92,0.18,2012,6-11,Female
294.86,33.09,19.15,28.53,2.46,175.23,3.62,157.66,5.04,143.1,34.36,7.92,3.75,135.21,27.09,31.92,163.53,0.33,2012,12-18,Female
262.44,23.52,10.32,30.83,4.22,229.4,5.58,131.86,3.08,307.89,30.92,7.29,2.15,105.44,25.25,40.65,114.88,0.35,2012,19-29,Female
263.19,36.23,7.78,31.93,4.24,303.24,5.85,198.92,7.03,199.71,33.13,7.05,2.34,91.32,24.12,48.02,91.96,0.16,2012,30-49,Female
275.64,39.88,6.58,36.96,6.19,317.81,4.51,260.35,4.84,113.51,29.21,5.5,4.7,60.34,17.5,41.25,72.94,0.12,2012,50-64,Female
269.35,28.71,4.47,34.02,3.23,259.98,2.03,147.76,4.47,31.24,20.29,3.5,,38.27,8.17,27.45,47.11,,2012,65,Female
130.21,21.49,3.05,49.68,2.44,62.17,5.97,114.78,8.44,25.95,8.43,2.18,0.04,46.18,26.55,18.27,268.3,0.08,2013,1-2,Female
211.59,25.07,8.46,19.76,1.6,90.66,2.7,140.08,6.02,49.36,13.53,3.59,0.06,50.77,26.53,27.86,258.11,0.13,2013,3-5,Female
267.6,28.58,15.65,24.43,3.47,145.7,4.95,189.62,5.25,92.29,25.41,6.12,0.07,99.36,29.26,32.44,218.15,0.35,2013,6-11,Female
288.24,33.83,20.32,28.92,2.54,171.9,3.15,136.77,11.41,135.38000000000002,28.47,7.91,0.8,126.71,31.32,45.29,142.25,0.27,2013,12-18,Female
255.75,37.46,14.07,25.52,5.87,214.38,5.45,166.59,8.2,366.81,40.42,8.86,1.18,130.61,30.84,58.57,130.73,0.41,2013,19-29,Female
268.27,40.32,10.11,32.59,6.46,294.41,5.99,192.82,14.33,243.58999999999997,35.78,7.94,1.37,92.74,29,74.35,91.28,0.18,2013,30-49,Female
265.4,61.95,10.53,39.81,13.14,350.05,5.75,255.77,20.35,146.41,30.91,5.83,3.92,60.77,19.92,77.56,81,0.1,2013,50-64,Female
281.75,42.72,7.77,41.79,5.28,270.85,2.34,141.56,17.52,39.93,23.36,3.55,0.28,45.95,9.67,59.48,55.6,0.06,2013,65,Female
133.99,17.44,3.98,19.84,3.46,62.89,3.55,148.48,6.04,37.45,5.9,2.62,0.3,47.86,13.22,20.43,178.64,0.02,2014,1-2,Female
192.61,26.83,8.64,13.86,8.34,103.29,3.36,194.63,9.97,53.78,13.74,3.9,0.13,61.4,25.24,30.99,212.6,0.21,2014,3-5,Female
261.17,26.64,17.65,14.63,3.52,160.94,5.85,190.36,19.83,110.92999999999999,25.13,6.44,0.08,102.6,30.93,56.88,190.04,0.27,2014,6-11,Female
300.91,31.04,18.06,18.83,2.94,175.5,5.59,163.48,15.18,176.37,32.16,7.87,0.16,118.12,25.98,63.83,144.46,0.55,2014,12-18,Female
266.65,29.94,13.68,23.52,4.76,233.46,5.72,141.23,15.59,363.42,36.66,10.84,0.14,118.18,25.79,61.46,106.09,0.51,2014,19-29,Female
251.24,40.14,11.2,30.3,8.92,309.09,6.9,226.22,29.56,272.11,38.08,7.69,0.36,97.1,27.13,85.78,86.62,0.21,2014,30-49,Female
260.82,64.5,8.03,37.17,13.4,356.53,6.72,307.13,30.58,144.34,31.46,6.76,0.41,54.35,19.89,98.9,92.11,0.1,2014,50-64,Female
262.27,42.4,7.17,37.58,6.56,293.07,3.15,166.39,25.02,56.46,21.38,3.7,0.08,43.41,10.74,83.38,51.72,0.2,2014,65,Female
136.9,15.11,4.66,28.6,2.75,51.2,1.45,140.53,10.27,35.56,9.8,1.93,0.03,33.96,26.09,26.84,272.82,0.09,2015,1-2,Female
203.25,22.28,7.17,15.11,3.18,96.14,2.58,181.06,16.13,65.57000000000001,21.41,4.02,0.01,46.38,30.54,38.23,203.05,0.2,2015,3-5,Female
284.14,21.65,12.77,23.55,3.05,165.54,4.03,212.02,23.41,104.98,24.34,6.25,0.42,98.53,31.18,60.44,169.77,0.32,2015,6-11,Female
288.04,27.36,18.37,18.21,1.8,194.49,5.42,146.77,14.31,146.07999999999998,31.91,7.33,,117.86,25.98,53.59,139.43,0.32,2015,12-18,Female
251.69,38.65,17.56,26.91,4,206.67,5.99,168.8,21.56,366.98,36.46,10.05,0.29,130.09,34.33,67.53,115.68,0.49,2015,19-29,Female
259.49,45.02,11.12,30.75,7.47,290.64,8.24,215,30.02,271.07,37.03,8.08,0.21,93.08,31.49,93.03,90.24,0.27,2015,30-49,Female
270.06,46.67,9.94,35.48,16.45,323.77,6.09,301.98,35.53,168.79,29.29,6.59,0.7,57.96,22.81,103.59,80.63,0.13,2015,50-64,Female
263.77,32.33,6.78,31.08,6.63,277.59,3.24,191.29,33.53,56.89,21.89,3.85,0.48,42.67,12.69,83.42,55.86,0.07,2015,65,Female
299.99,37.39,12.32,34.85,7.61,296.77,5.78,198.34,27.52,304.47,39.05,8.45,0.76,109.63,28.88,96.35,101.64,0.32,2016,1-2,Female
299.99,37.39,12.32,34.85,7.61,296.77,5.78,198.34,27.52,304.47,39.05,8.45,0.76,109.63,28.88,96.35,101.64,0.32,2016,3-5,Female
299.99,37.39,12.32,34.85,7.61,296.77,5.78,198.34,27.52,304.47,39.05,8.45,0.76,109.63,28.88,96.35,101.64,0.32,2016,6-11,Female
299.99,37.39,12.32,34.85,7.61,296.77,5.78,198.34,27.52,304.47,39.05,8.45,0.76,109.63,28.88,96.35,101.64,0.32,2016,12-18,Female
299.99,37.39,12.32,34.85,7.61,296.77,5.78,198.34,27.52,304.47,39.05,8.45,0.76,109.63,28.88,96.35,101.64,0.32,2016,19-29,Female
299.99,37.39,12.32,34.85,7.61,296.77,5.78,198.34,27.52,304.47,39.05,8.45,0.76,109.63,28.88,96.35,101.64,0.32,2016,30-49,Female
299.99,37.39,12.32,34.85,7.61,296.77,5.78,198.34,27.52,304.47,39.05,8.45,0.76,109.63,28.88,96.35,101.64,0.32,2016,50-64,Female
299.99,37.39,12.32,34.85,7.61,296.77,5.78,198.34,27.52,304.47,39.05,8.45,0.76,109.63,28.88,96.35,101.64,0.32,2016,65,Female
147.12,16.91,6.76,14.3,3.91,48.28,1.93,113.53,14.69,30.64,9.59,2.81,0.03,45.07,14.23,40.75,229.61,0.02,2017,1-2,Female
197.73,15.18,10.05,18.11,2.37,99.81,5.21,131.24,13.31,84.29,15.4,4.19,0.08,56.96,21.97,40.41,226.1,0.23,2017,3-5,Female
262.7,24.7,16.7,23.57,3.53,139.97,3.4,149.86,27.12,83.44000000000001,22.05,5.63,0.04,100.04,25.81,69.75,200.57,0.26,2017,6-11,Female
284.47,27.9,13.84,16.62,4.21,151.79,4.68,103.49,18.6,164.81,34.01,7.18,0.01,117.19,24.21,54.74,149.04,0.36,2017,12-18,Female
248.55,29.46,14.92,23.99,1.85,194.34,5.19,87.76,15.27,347.31,35.24,7.74,0.16,129,26.58,69.27,134.39,0.56,2017,19-29,Female
261.75,30.38,11.88,32.68,6.45,276.91,7.05,177.43,27.33,325.26,34.46,7.43,0.52,104.43,25.28,96.24,91.31,0.34,2017,30-49,Female
253.55,46.59,8.26,33.4,8.74,320.09,5.53,262.81,40.19,194.94,28.17,5.01,0.66,65.55,20.89,114.28,85.24,0.11,2017,50-64,Female
243.04,43.74,7.01,32.07,8.31,262.55,3.51,187.82,22.86,70.74,20.71,3.66,0.38,48.02,12.52,73.15,71.22,0.02,2017,65,Female
151.18,14.99,8.41,22.04,3.89,63.06,2.49,126.94,20.28,50.9,10.35,2.75,0.04,39.29,19.6,57.7,221.04,0.08,2018,1-2,Female
186.65,26.29,10.68,19.13,1.64,91.64,3.49,135.56,19.56,66.38,12.55,3.89,0.02,41.31,24.82,39.76,231.85,0.07,2018,3-5,Female
246.33,23.75,17.18,12.41,1.5,122.62,5.94,125.25,25.04,93.14,22.3,5.27,0.06,92.95,29.24,57.89,202.23,0.34,2018,6-11,Female
286.1,28.06,17.04,20.95,3.79,155.3,7.34,90.7,13.6,185.92000000000002,28.21,6.21,0,142.45,26.81,60,178.73,0.46,2018,12-18,Female
262.46,22.32,11.43,19.05,3.22,179.25,8.35,79.51,15.37,415.53,37.87,6.89,0.29,135.53,27.97,72.11,118.61,0.66,2018,19-29,Female
262.46,22.32,11.43,19.05,3.22,179.25,8.35,79.51,15.37,415.53,37.87,6.89,0.29,135.53,27.97,72.11,118.61,0.66,2018,30-49,Female
246.29,25.37,8.33,24.97,6.26,243.68,6.03,147.75,24.57,342.34000000000003,31.75,6.28,0.21,100.79,30.62,93.86,88.67,0.33,2018,50-64,Female
250.84,28.88,6.09,39.78,8.11,255.58,3.05,170.38,24.32,64.63000000000001,22.72,3.36,0.11,47.41,15.63,77.34,59.63,0.02,2018,65,Female
