Age,Year,Gender,에너지(Kcal),단백질(g),동물성단백질(g),지방(g),탄수화물(g),칼슘(mg),인(mg),철(mg),나트륨(mg),칼륨(mg),티아민(mg),리보플라빈(mg),비타민C(mg),동물성단백질비(%),지방급원에너지비(%)
12-18,2013,Male,2502.24,92.09,51.69,67.32,374.39,525.85,1264.89,19.68,4146.86,2958.86,1.792,1.418,81.19,51.08,23.71
19-29,2013,Male,2631.91,98.74,57.46,72.79,345.68,546.48,1324.25,20.84,5066.27,3183.55,2.313,1.637,76.17,52.05,25.33
30-49,2013,Male,2624.97,94.6,51.53,61.07,366.22,605.39,1395.2,22.17,5605.57,3643.3,2.46,1.801,100.84,48.88,21.97
50-64,2013,Male,2322.81,80.31,36.17,43.25,353.58,563.3,1255.42,22.42,4818.29,3534.49,2.605,1.781,105.59,38.93,17.21
≥ 65,2013,Male,1974.98,66.97,26.79,30.76,333.5,475.5,1041.18,18.57,3915.67,2947.99,2.497,1.503,89.26,33.49,13.86
전체,2014,Male,2382.65,83.71,43.29,55.8,343.46,541.95,1237.22,19.56,4557.02,3242.74,2.302,1.572,95.81,46.2,21.56
1-2,2014,Male,1118.38,37.16,20.87,27.39,179.4,401.5,667.08,7.65,1242.84,1635.91,1.081,0.881,70.39,54.06,22.63
3-5,2014,Male,1446.61,47.43,25.18,36.59,230.27,425.43,787.38,9.16,1879.43,1987.96,1.282,1.044,90.73,50.95,22.68
6-11,2014,Male,2054.04,72.57,40.73,57.26,307.74,551.63,1106.53,14.32,3033.19,2496.09,2.027,1.451,78.72,53.56,24.28
12-18,2014,Male,2634.85,97.42,56.82,73.36,375.07,567.19,1328.39,20.83,4456.18,3082.85,2.452,1.655,85.26,51.94,25.02
19-29,2014,Male,2531.32,91.44,51.63,68.8,334.61,517.01,1266.6,17.52,4948.13,3004.02,2.425,1.689,65.78,52.04,25.87
30-49,2014,Male,2575.18,90.7,48.07,60.6,357.35,576.29,1338.79,19.81,5165.35,3608.72,2.471,1.748,103.47,47.89,22.26
50-64,2014,Male,2417.62,84.03,39.61,49.24,361.61,559.4,1275.85,24.9,4912.28,3546.57,2.382,1.556,115.65,41.15,18.7
≥ 65,2014,Male,1941.41,62.69,22.38,29.24,330.49,467.13,1019.58,18.11,3617.08,3024.47,1.951,1.14,101.3,30.69,13.73
전체,2015,Male,2424.38,86.19,45.27,57.3,348.46,555.47,1250.89,19.11,4619.75,3268.29,2.306,1.593,93.61,46.18,21.56
1-2,2015,Male,1102.51,35.91,20.33,26.88,177.82,405.77,646.77,7.27,1214.27,1486.18,0.948,0.877,64.43,54.67,22.42
3-5,2015,Male,1454.63,47.57,25.42,36.49,231.36,439.23,806.7,9.65,1848.61,1931.85,1.295,1.071,74.81,51.71,22.6
6-11,2015,Male,2066.36,73.6,42.14,58.1,307.36,518.17,1083.93,13.62,3074.93,2538.68,1.848,1.494,68.34,53.6,24.57
12-18,2015,Male,2516.14,91.97,53.03,72.9,360.7,555.96,1253.12,17.92,4186.5,2971.42,2.307,1.674,69.28,52.92,25.82
19-29,2015,Male,2731.53,100.36,59.04,74.67,364.68,572.24,1342.11,20.64,4894.07,3320.92,2.548,1.769,85.49,51.81,25.22
30-49,2015,Male,2654.07,94.18,50.74,63.61,364.7,589.59,1352.29,20.21,5368.67,3585.86,2.523,1.769,97.53,48.49,22.78
50-64,2015,Male,2396.01,85.24,40.2,47.52,357.76,582.19,1300.94,21.38,4969.06,3551.49,2.354,1.547,111.85,39.64,18.09
≥ 65,2015,Male,1935.99,64.24,24.08,30.62,328.37,451.19,1018.29,17.31,3719.61,2934.9,1.933,1.149,99.29,32.26,14.23
전체,2016,Male,2352.36,85.1,47.11,59.09,326.6,529.37,1208.68,18.49,4355.9,3150.79,2.248,1.573,93.49,49.32,22.98
1-2,2016,Male,1144.12,38.35,23.3,31.35,175.11,424.05,679.19,7.6,1256.87,1616.22,1.001,0.894,54.31,58.12,24.89
3-5,2016,Male,1423.71,47.81,26.52,37.84,220.35,430.4,797.8,9.41,1925.47,1931.39,1.272,1.053,74.7,53.46,23.23
6-11,2016,Male,1999.31,69.42,38.95,55.45,299.9,501.42,1053.13,13.78,2870.23,2466.33,1.782,1.412,73.97,53.08,24.24
12-18,2016,Male,2426.3,90.41,52.74,72.42,343.41,532.35,1221.07,16.76,3914.48,2829.13,2.303,1.599,75.49,53.2,26.26
19-29,2016,Male,2621.69,103.18,66.1,82.46,328.45,511.98,1304.27,19.56,4721.65,3029.99,2.403,1.82,57.83,57.73,28.56
30-49,2016,Male,2560.71,92.04,52.33,64.47,340.06,553.65,1308.84,19.93,5026.1,3398.91,2.445,1.709,96.07,51.54,23.96
50-64,2016,Male,2351.47,84.25,42.69,50,332.7,575.35,1238.1,19.97,4497.96,3520.32,2.35,1.57,123.42,45.17,20.25
≥ 65,2016,Male,1915.25,62.03,23.17,30.71,323.8,444.38,979.64,17.44,3760.29,2983.63,1.886,1.136,109.56,32.3,14.42
전체,2017,Male,2228.54,84.58,46.56,55.93,326.8,555.04,1223.77,14.53,4063.4,3014.4,1.602,1.754,63.53,49.48,22.03
1-2,2017,Male,1130.03,39.38,22.97,29.14,187.75,470.54,701,7,1116.36,1597.93,0.744,1.019,52.84,54.96,21.73
3-5,2017,Male,1498.24,54.18,32.27,43.3,232.07,497.15,883.4,8.88,1811.71,1876.83,1.088,1.401,69.61,56.08,24.13
6-11,2017,Male,1922.98,70.6,39.95,56.08,297.5,533.86,1058.36,12.32,2727.67,2321.35,1.348,1.598,62.01,54.91,24.75
12-18,2017,Male,2391.22,89.41,50.88,70.03,361.51,605.48,1289.48,13.93,3953.16,2788.4,1.685,1.899,59.78,53.39,25.45
19-29,2017,Male,2366.62,94.35,59.91,71.38,313.05,519.86,1247.23,14.26,4214.41,2813.16,1.801,1.924,54.07,56.13,25.5
30-49,2017,Male,2482.86,96.39,56.5,63.54,337.14,581.67,1342.12,16.24,4756.48,3260.69,1.718,1.928,69.49,53.59,23.76
50-64,2017,Male,2177.38,79.93,37.52,45.47,343.18,573.26,1229.78,15.13,4183.58,3353.48,1.594,1.682,66,42.31,18.64
≥ 65,2017,Male,1817.46,65.61,26.32,32.36,318.4,494.09,1047.38,12.97,3405.09,2906.36,1.353,1.359,57.73,35.66,15.16
전체,2018,Male,2300.04,83.69,45.95,54.72,327.44,573.23,1202.11,13.28,3866.82,2922.46,1.57,1.83,65.29,50.09,21.96
1-2,2018,Male,1197.89,41.46,23.63,30.58,187.73,467.8,711.72,6.84,1195.63,1584.14,0.88,1.05,50.56,55.64,22.89
3-5,2018,Male,1393.38,49.44,30.09,37.29,212.67,470.73,790.32,6.97,1601.8,1722.49,0.94,1.25,54.41,58.82,23.86
6-11,2018,Male,1813.6,64.97,37.93,48.61,274.71,512.66,968.68,8.87,2474.74,2067.27,1.2,1.54,58.6,54.85,23.91
12-18,2018,Male,2542.77,94.16,55.06,72.53,368.75,614.24,1296.21,13.12,3800.92,2793.42,1.74,2.11,60.06,53.3,24.76
19-29,2018,Male,2423.33,92.65,56.43,65.55,325.5,552.63,1219.44,13.13,3976.79,2732.38,1.65,1.93,56.24,55.87,25.22
30-49,2018,Male,2543.88,94.61,55.1,64.13,339.48,601.48,1320.75,14.42,4420.85,3180.77,1.7,2.1,77.53,53.93,23.86
50-64,2018,Male,2322.01,80.57,38.88,46.23,343.74,596.2,1216.96,14.38,4134.59,3229.08,1.6,1.74,65.14,44.21,18.94
≥ 65,2018,Male,1892.47,65.2,26.78,31.75,311.85,522.97,1050.3,12.82,3308.69,2823.65,1.33,1.37,55.71,36.99,15.44
전체,2008,Female,1550.78,54.93,23.17,31.29,262.14,423.66,939.94,11.24,3792.56,2483.25,1.025,0.945,92.45,37.55,17.41
1-2,2008,Female,936.86,32.43,17.35,24.07,147.87,395.28,606.49,5.43,1236.62,1295.06,0.641,0.767,54.91,50.75,22.65
3-5,2008,Female,1178.1,39.06,18.98,27.98,193.44,381.93,709.45,6.22,1995.56,1640.91,0.776,0.819,62.71,45.85,20.31
6-11,2008,Female,1473.97,52.16,25.77,33,243.58,434.29,896.28,8.94,2937.22,2075.22,0.977,0.961,76.86,46.26,19.59
12-18,2008,Female,1713.3,61.06,30.82,42.77,269.01,396.48,957.75,9.98,3646.57,2191.44,1.164,1.06,82.5,45.06,21.66
19-29,2008,Female,1629.61,59.06,28.98,40.16,249.72,412.5,938.59,10.66,3865.51,2360.81,1.075,1.023,87.91,45.74,21.71
30-49,2008,Female,1624.58,58.8,24.9,32.74,273.4,452.85,1005.71,12.46,4398.11,2794.24,1.104,1.023,105.24,38.08,17.53
50-64,2008,Female,1587.08,55.53,18.64,25.52,289.18,461.29,1006.15,13.33,4027.61,2896.74,1.029,0.907,108.81,29.15,13.75
≥ 65,2008,Female,1297.26,42.18,11.78,16.13,248.36,334.45,784.84,10.04,3115.97,2049.26,0.777,0.644,69.71,22.57,10.67
전체,2009,Female,1585.36,55.81,23.77,32.12,268.03,432.43,962.28,11.79,3831.11,2528.55,1.053,1.02,95.53,38.24,17.64
1-2,2009,Female,943.03,33.32,18.51,23.47,150.2,425.55,645.75,5.57,1316.64,1335.21,0.622,0.86,52.28,54.32,21.8
3-5,2009,Female,1133,39.2,20.17,27.03,183.78,378.45,703.28,6.4,1905.83,1550.99,0.732,0.899,61.15,48.83,20.91
6-11,2009,Female,1499.51,52.14,26.09,35.23,244.41,445.43,897.99,9.14,2767.03,2069.18,1.027,1.074,78.62,47.21,20.56
12-18,2009,Female,1730.97,59.64,29.05,43,278.21,428.72,978.47,10.33,3469.87,2255.83,1.17,1.13,84.2,45.5,21.68
19-29,2009,Female,1667.99,60.84,30.56,42.16,253.71,447.1,986.03,11,4018.21,2516.75,1.136,1.129,98.96,45.8,22.21
30-49,2009,Female,1669.07,60.65,26.13,34.2,279,450.12,1030.47,12.95,4444.08,2816.37,1.135,1.1,108.36,39.15,18.02
50-64,2009,Female,1618.6,55.97,19.7,25.4,294.61,446.54,1015.05,13.82,4114.87,2863.72,1.052,0.969,107.53,31.22,13.81
≥ 65,2009,Female,1342.5,42.63,11.44,16.59,258.31,357.43,802.39,11.36,3191.38,2141.1,0.792,0.693,71.85,21.97,10.69
전체,2010,Female,1716.72,60.84,27.33,36.34,286.01,474.89,1028.98,12.77,4041.74,2664.95,1.145,1.104,101.04,40.11,18.27
1-2,2010,Female,1059.86,37.01,20.48,25.86,172.32,476.75,725.95,6.94,1358.64,1549.97,0.725,0.932,76.89,53.21,21.47
3-5,2010,Female,1239.74,44.18,24.12,32.21,195.96,457.87,794.32,7.57,1914.06,1730.46,0.853,0.993,69.6,52.17,22.38
6-11,2010,Female,1704.55,59.45,30.47,41.28,275.72,478.31,1006.12,10.26,3116.97,2258.51,1.163,1.175,86.19,48.28,21.01
12-18,2010,Female,1953.39,67.08,34.84,53.75,300.46,453.8,1058.87,10.86,3753.08,2403.31,1.324,1.221,82.8,47.75,23.77
19-29,2010,Female,1831.67,67.84,35.22,47.55,274.16,468.71,1039.25,12.29,4071.2,2636.55,1.238,1.213,105.01,47.79,23.09
30-49,2010,Female,1777.09,65.72,30.14,38.29,291.86,511.91,1110.61,13.79,4650.4,2963.29,1.22,1.193,112.25,41.77,18.86
50-64,2010,Female,1722.06,59.82,23.21,28.89,308.85,495.78,1063.3,14.94,4392.96,3013.7,1.135,1.089,118.33,34.12,14.54
≥ 65,2010,Female,1459.35,45.04,11.91,17.16,282.24,374.18,842.82,12.07,3425.58,2170.64,0.855,0.705,72.93,22.06,10.16
전체,2011,Female,1690.98,60.06,27.09,35.82,282.48,458.05,1005.01,12.63,3938.69,2580.78,1.133,1.089,97.88,39.96,18.25
1-2,2011,Female,994.69,35.73,20.83,26.45,154.18,515.77,704.7,6.19,1337.89,1300.15,0.689,0.921,56.92,56.37,23.51
3-5,2011,Female,1352.34,46.93,25.35,33.04,218.23,533.81,884.82,8.17,2140,1889.45,0.855,1.072,70.06,50.87,21.61
6-11,2011,Female,1699.4,58.63,30.49,41.54,274.3,496.22,990.88,10.18,2909.05,2214.83,1.147,1.198,84.87,48.97,21.45
12-18,2011,Female,1913.5,66.86,34.59,48.12,301.11,455.99,1036.14,11.41,3643.17,2336.35,1.27,1.201,85.28,48.54,22.26
19-29,2011,Female,1786.65,67.3,36.25,49.14,264.76,412.18,988.47,11.78,4014.46,2492.63,1.241,1.177,94.35,48.18,24.25
30-49,2011,Female,1786.06,65.91,30.09,38.92,294.32,501.64,1103.81,13.97,4656.31,2910.29,1.222,1.207,111.5,41.38,18.93
50-64,2011,Female,1680.5,58.06,21.7,27.83,302.7,465.82,1027.92,14.37,4213.29,2901.39,1.121,1.032,110.65,33.18,14.3
≥ 65,2011,Female,1385.62,42.99,12.27,16.41,266.38,351.49,801.96,11.56,3101.93,2065.38,0.835,0.689,75.82,23.04,10.22
전체,2012,Female,1671.26,60.15,27.49,36.65,276.05,462.3,996.9,12.96,3884.63,2629.96,1.129,1.111,101.76,40.79,18.94
1-2,2012,Female,1020.32,36.18,21.87,27.14,157.64,470.55,719.66,6.02,1338.89,1387.6,0.614,0.987,58.08,58.18,23.98
3-5,2012,Female,1224.77,40.31,21.01,29.64,199.4,409.38,745.75,6.8,1814.68,1574.77,0.71,0.93,66.52,49.86,21.13
6-11,2012,Female,1623.46,55.12,28.47,40.5,261.35,443.52,919.2,9.79,2895.86,2076.61,1.047,1.122,86.04,47.76,21.58
12-18,2012,Female,1947.13,72.29,40.35,51.82,301.02,466.65,1069.87,11.88,3823.15,2447.74,1.277,1.242,96.8,50.44,23.15
19-29,2012,Female,1787.2,64.69,33.65,49.29,262.6,435.75,980.07,11.45,3943.57,2412.1,1.204,1.157,86.66,47.27,24.3
30-49,2012,Female,1730.65,65.66,31.04,39.3,279.39,505.34,1068.98,14.29,4491.59,2968.66,1.214,1.232,116.68,43.33,19.95
50-64,2012,Female,1677.16,59.22,22.48,29.54,298.6,483.58,1055.41,15.36,4100.28,2991.93,1.143,1.099,118.5,34.15,15.31
≥ 65,2012,Female,1417.23,45.15,13.5,19.01,269.72,374.51,832.49,12.03,3256.85,2248.31,0.919,0.765,80.43,24.91,11.49
전체,2013,Female,1758.18,61.84,30.24,40.05,279.66,452.6,966.34,15.31,3347.9,2671.95,1.796,1.221,94.95,42.44,19.7
1-2,2013,Female,1054.81,41.72,27.44,30.75,153.04,491.62,741.15,7.46,1304.4,1530.53,2.078,1.407,56.22,60.28,25.58
3-5,2013,Female,1400.63,43.96,24.18,39.99,214.24,469.35,770.42,9.86,1813.6,1702.41,0.93,0.98,63.58,53.11,24.24
6-11,2013,Female,1763.4,59.94,32.94,46.81,272.28,496.77,963.16,12.31,2590.05,2252.89,1.21,1.041,81.67,49.96,22.72
12-18,2013,Female,1915.49,70.12,40.33,52.48,285.58,430.66,967.81,13.3,3141.64,2329.05,1.575,1.284,63.63,50.77,24.45
19-29,2013,Female,1949.12,71.16,41.44,55.75,275.29,463.08,1021.02,14.46,3659.22,2650.2,1.736,1.287,81.44,51.32,24.76
30-49,2013,Female,1829.59,65.86,33.29,43.82,282.27,473.9,1024.38,16.3,3768.67,2826.83,1.843,1.413,100.56,44.72,21.03
50-64,2013,Female,1748.41,61.37,25.4,32.24,298.15,479.55,1026.58,17.62,3514.76,3183.31,1.929,1.323,134.49,36.37,16.31
≥ 65,2013,Female,1484.8,46.19,14.01,18.77,278.36,344.8,763.13,14.95,2825.33,2307.26,1.974,1.228,73.52,25.46,11.16
전체,2014,Female,1744.01,60.19,28.72,39.93,276.64,442.17,941.48,14.97,3222.58,2723.84,1.718,1.195,103.28,42.59,20.17
1-2,2014,Female,944.84,32.48,18.69,24.45,147.76,349.79,560.3,6.49,978.72,1368.82,0.848,0.696,66.06,53.99,22.9
3-5,2014,Female,1311.46,43.05,23.71,33.89,207.27,398.71,734.25,9.15,1655.23,1799.99,1.189,0.959,79.11,53,23.32
6-11,2014,Female,1766.75,61.07,34.28,47.42,270.91,454.06,907.9,12.22,2788.54,2260,1.574,1.226,74.76,51.86,23.61
12-18,2014,Female,1940.45,68.04,37.77,52.22,292.8,446.12,973.21,14.04,3032.31,2307.2,1.745,1.246,59.13,52.34,24.01
19-29,2014,Female,1899.33,66.76,36.46,51.39,274.64,425.88,954.67,13.72,3411.92,2520.71,1.715,1.252,77.05,50.1,24.46
30-49,2014,Female,1823.19,65.03,32.74,44.57,276.6,460.38,999.92,15.58,3702.79,2924.34,1.87,1.324,109.26,45.86,21.97
50-64,2014,Female,1766.56,60.43,24.6,34.49,298.77,499.77,1033.34,17.69,3418.44,3310.39,1.854,1.239,148.03,35.92,17.14
≥ 65,2014,Female,1449.54,44.94,13.7,20.33,267.65,348.73,749.36,14.48,2537.88,2371.94,1.438,0.868,94.94,26.08,12.35
전체,2015,Female,1747.19,60.17,29.09,40.51,275.73,439.62,934.68,14.72,3160.17,2678.93,1.724,1.216,100.71,42.88,20.19
1-2,2015,Female,982.8,33.69,19.6,25.59,152.58,417.2,635.68,6.8,1162.29,1403.59,0.892,0.853,56.21,56.38,23.59
3-5,2015,Female,1296.74,41.24,21.62,31.36,209.86,377.24,697.38,8.64,1821.4,1752.05,1.151,0.975,78.94,49.21,21.59
6-11,2015,Female,1776.18,61.07,33.1,47.33,273.02,423.67,931.64,12.64,2641.37,2302.69,1.597,1.219,76.2,51.02,23.63
12-18,2015,Female,1872.97,65.54,36.42,50.85,283.45,417.31,935.03,13.67,2974.64,2270.53,1.706,1.239,71.88,50.08,23.8
19-29,2015,Female,1964.16,70.48,41.19,57.13,272.56,433.76,999.95,14.03,3374.93,2578.07,1.875,1.398,79.08,52.35,25.59
30-49,2015,Female,1813.44,64.28,32.07,44.28,277.35,469.74,993.87,15.56,3634.66,2880.59,1.843,1.332,102.49,45.59,21.75
50-64,2015,Female,1770.92,59.7,24.82,34.79,296.9,473.88,984.82,16.79,3172.15,3117.84,1.809,1.212,134.96,37.1,17.15
≥ 65,2015,Female,1473.73,46.22,15.16,21.34,268.96,364,758.6,13.91,2701.19,2375.55,1.465,0.887,100.26,27.64,12.65
전체,2016,Female,1661.3,58.38,28.79,39.7,259,410.4,892.98,14.1,2978.25,2555.1,1.632,1.177,99.98,44.06,21
1-2,2016,Female,1033.71,35.05,20.75,26.63,161.27,391.94,618.13,7.48,1140.61,1430.79,0.889,0.773,52.38,56.88,23.31
3-5,2016,Female,1305.01,41.84,21.73,33.15,208.15,393.84,708.64,8.82,1689.33,1772.14,1.103,0.951,72.43,49.91,22.42
6-11,2016,Female,1700,56.12,30.16,43.12,268.24,429.04,864.92,12.41,2465.93,2110.85,1.488,1.178,78.69,51.59,22.83
12-18,2016,Female,1817.02,66.03,38.75,53.43,262.48,389.93,900.6,13.72,2926.72,2231.86,1.72,1.28,65.35,53.68,25.6
19-29,2016,Female,1767.39,63.87,36.3,52.97,242.81,392.01,910.7,12.32,3152.97,2268.47,1.635,1.223,73.84,52.16,26.84
30-49,2016,Female,1775.19,64.71,33.36,44.46,266.29,435.75,968.38,15.23,3425.39,2747.77,1.799,1.294,99.02,46.95,22.45
50-64,2016,Female,1653.88,57.52,25.05,33.33,275.29,445.44,938.54,16.15,3042.27,3018.46,1.689,1.201,142.05,39.32,18.04
≥ 65,2016,Female,1381.93,44.17,14.96,22.02,248.91,332.86,723.59,12.81,2430.52,2308.52,1.384,0.895,98.09,28.25,13.81
전체,2017,Female,1612.77,59.45,29.73,39.76,262.74,462.95,920.18,11.01,2888.35,2444.29,1.189,1.326,61.88,45.27,20.88
1-2,2017,Female,1001.87,34.03,20.69,27.27,161.11,419.59,604.54,4.96,1048.52,1248.66,0.682,0.854,35.91,59.85,24.11
3-5,2017,Female,1276.02,44.93,24.66,35.05,203.86,427.65,723.32,7.23,1618.71,1649.44,0.925,1.123,57.22,52.7,23.47
6-11,2017,Female,1634.26,58.66,32.52,44.96,260.65,471.06,895.32,9.6,2343.29,2058.93,1.177,1.363,61.94,53.15,23.69
12-18,2017,Female,1726.63,62.28,34.85,49.23,269.06,436.01,899.62,9.74,2766.66,1996.46,1.154,1.346,54.54,52.36,24.35
19-29,2017,Female,1756.17,67.21,40.1,53.67,245.86,467.39,956.32,10.67,3142.72,2205.75,1.254,1.479,55.09,53.94,26.39
30-49,2017,Female,1720.28,65.61,33.99,45.05,267.81,477.32,989.07,12,3327.87,2625.17,1.275,1.458,65.75,47.8,22.6
50-64,2017,Female,1586.35,58.88,25.85,33.07,278.95,505.66,968.79,11.99,2937.73,2858.42,1.23,1.337,71.32,40.05,17.87
≥ 65,2017,Female,1375.64,45.58,16.65,23.19,261.55,390.03,767.15,10.21,2372.34,2283.77,1.017,0.984,53.24,32,13.87
전체,2018,Female,1635.24,58.47,29.79,39.09,251.69,454.62,889.29,9.88,2678.57,2328.75,1.09,1.37,55.5,46.34,21.12
1-2,2018,Female,1088.05,37.88,22.18,27.49,171.42,438.86,656.24,5.87,1175.64,1441.31,0.75,1.01,42.56,56.4,22.66
3-5,2018,Female,1228.35,40.94,22.45,30.86,195.75,440.71,698.57,6.73,1449.83,1604.61,0.88,1.13,54.97,53.83,22.54
6-11,2018,Female,1610.56,54.65,31.31,45.06,243.37,470.1,840.38,8.08,2213.54,1826.46,1,1.34,51.82,54.59,24.95
12-18,2018,Female,1900.76,67.92,39.2,55.57,276.32,511.37,965.77,9.52,2760.92,2107.24,1.17,1.65,69.56,55.33,25.98
19-29,2018,Female,1805.03,66.16,39.02,50.67,246.56,445.28,908.23,9.85,2829.85,2139.76,1.09,1.52,48.49,54.23,25.45
30-49,2018,Female,1678.42,62.26,33.56,42.58,246.25,454.82,926.34,10.22,2937.19,2427.18,1.14,1.46,57.03,49.72,22.81
50-64,2018,Female,1629.23,58.67,26.78,34.71,263.66,486.54,939.19,10.88,2796.33,2703.11,1.13,1.42,61.75,42.11,19.02
≥ 65,2018,Female,1434.61,46.76,16.84,22.78,257.67,392.04,770.01,9.47,2355.51,2225.56,1.01,1,46.54,31.06,13.75
