gender,age,oil,solid fats,added sugars,alcoholic drinks,year,eggs,nuts and seeds,soybean products,total protein foods,"Total Meat, Poultry, and Seafood",meat,poultry,cured meat,seafood low n-3,seafood high n-3,organ meat,total dairy,fluid milk,cheese,yoghurt,total grains,whole grains,refined grains,total vegetables,total starchy,potatoes,other starchy,total red and orange,tomatoes,other red and orange,dark green,other,total fruit,"citrus, melons, berries",other fruit,fruit juice
Females,2 and over,23.07,30.26,15.06,0.38,2013_14,0.44,0.65,0.07,4.78,3.63,1.06,1.26,0.75,0.40,0.15,0.01,1.48,0.69,0.69,0.08,5.81,0.80,5.01,1.29,0.34,0.27,0.06,0.33,0.24,0.09,0.17,0.46,0.91,0.22,0.45,0.24
Males and females,2 - 19,20.43,33.96,16.99,0.03*,2013_14,0.36,0.37,0.05,4.27,3.49,1.13,1.31,0.81,0.18,0.04,0.01*,2.09,1.21,0.81,0.06,6.71,0.83,5.88,0.91,0.32,0.27,0.05,0.27,0.21,0.06,0.07,0.25,1.01,0.21,0.44,0.36
Males and females,20 and over,26.98,35.76,17.58,0.79,2013_14,0.56,0.82,0.07,6.32,4.87,1.52,1.60,1.01,0.52,0.19,0.03,1.63,0.71,0.81,0.07,6.58,0.89,5.69,1.51,0.42,0.35,0.07,0.39,0.29,0.10,0.17,0.53,0.90,0.21,0.45,0.24
Males and females,2 and over,25.40,35.32,17.43,0.60,2013_14,0.51,0.71,0.07,5.83,4.54,1.43,1.53,0.96,0.44,0.16,0.02,1.74,0.83,0.81,0.07,6.61,0.87,5.74,1.36,0.39,0.33,0.06,0.36,0.27,0.09,0.14,0.47,0.93,0.21,0.45,0.27
Males,2 -5,17.63,27.47,11.34,0.00,2015_16,0.37,0.36,0.05*,3.13,2.35,0.48,0.91,0.81,0.11*,0.03*,0.00,1.98,1.30,0.59,0.08,5.34,0.83,4.52,0.70,0.26,0.23,0.04,0.23,0.17,0.06*,0.06,0.14,1.23,0.17,0.56,0.49
Males,6 - 11,23.54,35.61,17.74,0.00,2015_16,0.38,0.47,0.05,4.19,3.28,0.85,1.10,1.12,0.16*,0.05*,0.01*,2.09,1.22,0.78,0.08,7.42,1.03,6.39,0.85,0.34,0.29,0.06,0.29,0.20,0.09,0.05*,0.18,0.93,0.19,0.44,0.30
Males,12 - 19,27.51,40.36,19.81,0.08*,2015_16,0.39,0.48,0.09,5.58,4.62,1.66,1.59,1.00,0.27,0.09*,0.01*,2.16,1.12,0.96,0.02*,8.18,0.92,7.26,1.06,0.41,0.36,0.05,0.31,0.25,0.06,0.06,0.27,0.87,0.17,0.42,0.28
Males,20 - 29,31.98,42.73,18.99,0.98,2015_16,0.70,0.79,0.22*,8.22,6.51,1.96,2.69,1.14,0.56*,0.14,0.03*,1.94,0.62,1.16,0.09,8.13,0.95,7.18,1.42,0.39,0.34,0.05,0.36,0.30,0.07,0.15,0.51,1.00,0.15,0.47,0.38
Males,30 - 39,33.95,45.28,21.76,1.27,2015_16,0.68,0.66,0.11*,7.92,6.46,2.24,1.98,1.54,0.31,0.34*,0.05*,1.89,0.67,1.14,0.06*,8.11,0.91,7.20,1.72,0.59,0.53,0.06,0.39,0.33,0.06,0.14,0.59,0.91,0.16,0.41,0.34
Males,40 - 49,33.37,39.77,19.83,1.38,2015_16,0.58,1.05,0.09*,8.05,6.32,2.04,2.14,1.31,0.63,0.17,0.03*,1.68,0.71,0.86,0.08*,7.44,0.95,6.49,1.64,0.43,0.36,0.08,0.44,0.31,0.13,0.19,0.59,0.89,0.23,0.46,0.21
Males,50 - 59,32.70,40.99,20.10,1.10,2015_16,0.60,0.87,0.08*,7.60,6.04,2.52,1.49,1.29,0.58*,0.14*,0.01*,1.72,0.76,0.85,0.07,7.00,1.10,5.90,1.68,0.50,0.42,0.08,0.45,0.32,0.12,0.12,0.61,0.90,0.17,0.52,0.21
Males,60 - 69,29.36,34.86,16.08,0.58,2015_16,0.60,1.13,0.05*,7.06,5.28,2.28,1.38,1.13,0.33,0.15*,0.01*,1.34,0.63,0.59,0.08*,6.75,1.25,5.51,1.81,0.55,0.42,0.13*,0.40,0.28,0.12,0.21,0.65,0.97,0.28,0.48,0.22
Males,70 and over,27.26,37.44,13.22,0.57,2015_16,0.54,0.86,0.04,5.55,4.11,1.50,1.01,1.09,0.32,0.18*,0.02*,1.51,0.85,0.54,0.07,6.20,1.21,4.99,1.60,0.48,0.38,0.10,0.43,0.36,0.08,0.11,0.58,1.06,0.29,0.48,0.28
Males,2 - 19,24.12,36.09,17.37,0.04*,2015_16,0.38,0.45,0.07,4.60,3.69,1.14,1.28,1.00,0.20,0.06*,0.01*,2.10,1.19,0.82,0.05,7.34,0.94,6.40,0.92,0.36,0.31,0.05,0.29,0.22,0.07,0.06,0.21,0.96,0.18,0.46,0.33
Males,20 and over,31.71,40.60,18.68,1.01,2015_16,0.62,0.88,0.11,7.52,5.90,2.12,1.85,1.26,0.47,0.19,0.02*,1.71,0.70,0.89,0.07,7.36,1.05,6.31,1.63,0.49,0.41,0.08,0.41,0.31,0.10,0.15,0.58,0.95,0.21,0.47,0.28
Males,2 and over,29.82,39.48,18.35,0.77,2015_16,0.56,0.77,0.10,6.79,5.35,1.87,1.71,1.20,0.40,0.16,0.02*,1.81,0.82,0.87,0.07,7.35,1.02,6.34,1.46,0.46,0.38,0.07,0.38,0.29,0.09,0.13,0.49,0.95,0.20,0.47,0.29
Females,2 -5,15.86,25.06,9.81,0.00,2015_16,0.33,0.39,0.02*,2.91,2.18,0.54,0.99,0.56,0.07*,0.02*,#,1.90,1.27,0.53,0.09,4.53,0.64,3.90,0.66,0.29,0.22,0.06,0.18,0.12,0.06*,0.05*,0.15,1.19,0.22,0.56,0.42
Females,6 - 11,21.92,34.71,15.23,0.00,2015_16,0.41,0.35,0.03,3.77,2.99,1.12,0.88,0.77,0.15,0.06*,0.01*,1.91,1.18,0.68,0.04,6.85,0.89,5.97,0.90,0.36,0.29,0.07,0.27,0.19,0.07,0.06,0.22,0.91,0.18,0.44,0.28
Females,12 - 19,24.49,32.04,16.77,0.03*,2015_16,0.36,0.39,0.06,4.01,3.20,1.08,1.14,0.73,0.17,0.06*,#,1.60,0.79,0.77,0.03*,6.44,0.80,5.64,0.96,0.37,0.33,0.04,0.24,0.20,0.04,0.06,0.29,0.88,0.18,0.41,0.30
Females,20 - 29,28.19,30.79,16.20,0.37,2015_16,0.63,0.55,0.11,5.42,4.12,1.20,1.71,0.62,0.47,0.12*,0.01*,1.31,0.53,0.69,0.07,6.10,0.77,5.33,1.45,0.42,0.36,0.06,0.31,0.23,0.08,0.17,0.55,0.92,0.26,0.42,0.24
Females,30 - 39,25.45,30.69,13.27,0.73,2015_16,0.55,0.81,0.17*,5.58,4.06,1.07,1.47,0.91,0.38*,0.23*,#,1.32,0.48,0.70,0.09,5.70,0.95,4.76,1.54,0.38,0.27,0.12,0.41,0.23,0.18*,0.25,0.50,0.92,0.22,0.52,0.18
Females,40 - 49,26.13,29.93,14.87,0.46,2015_16,0.53,0.71,0.11*,5.49,4.14,1.23,1.42,0.77,0.47,0.23*,0.01*,1.35,0.61,0.59,0.10,5.56,0.67,4.89,1.46,0.44,0.36,0.08,0.32,0.23,0.09,0.15,0.55,0.85,0.21,0.42,0.22
Females,50 - 59,27.64,29.44,13.71,0.58,2015_16,0.56,1.03,0.12*,5.47,3.75,1.04,1.42,0.77,0.40,0.12*,0.01*,1.32,0.60,0.61,0.08,5.10,0.85,4.26,1.54,0.37,0.28,0.09,0.36,0.27,0.09,0.21,0.60,0.92,0.38,0.37,0.17
Females,60 - 69,22.49,31.52,13.69,0.23,2015_16,0.52,0.62,0.07*,4.92,3.72,1.56,0.87,0.78,0.29,0.21*,0.01*,1.19,0.60,0.44,0.13,4.66,0.80,3.86,1.60,0.51,0.42,0.09,0.30,0.20,0.10,0.22,0.57,0.86,0.19,0.53,0.15
Females,70 and over,20.93,29.18,11.68,0.17,2015_16,0.45,0.61,0.05,4.14,3.03,1.02,0.94,0.55,0.31,0.20*,0.01*,1.22,0.59,0.47,0.11,5.12,0.88,4.24,1.28,0.35,0.28,0.07,0.36,0.25,0.11,0.13,0.45,1.08,0.34,0.53,0.21
Females,2 - 19,21.71,31.31,14.70,0.01*,2015_16,0.37,0.38,0.04,3.68,2.90,0.97,1.02,0.71,0.14,0.05,#,1.76,1.02,0.68,0.05,6.14,0.79,5.35,0.87,0.35,0.29,0.05,0.23,0.18,0.06,0.06,0.23,0.96,0.19,0.45,0.32
Females,20 and over,25.40,30.23,13.98,0.44,2015_16,0.54,0.73,0.11,5.21,3.82,1.18,1.33,0.73,0.39,0.18,0.01,1.29,0.57,0.59,0.10,5.40,0.82,4.58,1.48,0.41,0.33,0.08,0.34,0.24,0.11,0.19,0.54,0.92,0.27,0.46,0.20
Females,2 and over,24.54,30.48,14.15,0.34,2015_16,0.50,0.65,0.09,4.85,3.61,1.13,1.26,0.73,0.33,0.15,0.01,1.40,0.67,0.61,0.08,5.57,0.81,4.76,1.34,0.40,0.32,0.08,0.32,0.22,0.10,0.16,0.47,0.93,0.25,0.46,0.22
Males and females,2 - 19,22.93,33.72,16.05,0.02,2015_16,0.38,0.41,0.05,4.15,3.30,1.05,1.16,0.86,0.17,0.06,#,1.94,1.11,0.76,0.05,6.75,0.87,5.88,0.90,0.35,0.30,0.05,0.26,0.20,0.06,0.06,0.22,0.96,0.18,0.45,0.33
Males and females,20 and over,28.44,35.22,16.24,0.71,2015_16,0.58,0.80,0.11,6.32,4.82,1.63,1.58,0.99,0.43,0.18,0.02*,1.49,0.63,0.73,0.09,6.34,0.93,5.41,1.55,0.45,0.37,0.08,0.38,0.27,0.10,0.17,0.56,0.94,0.24,0.46,0.24
Males and females,2 and over,27.11,34.86,16.19,0.55,2015_16,0.53,0.71,0.10,5.80,4.46,1.49,1.48,0.96,0.37,0.15,0.01,1.60,0.75,0.74,0.08,6.44,0.91,5.53,1.40,0.42,0.35,0.07,0.35,0.26,0.09,0.14,0.48,0.94,0.23,0.46,0.26
Males,2 -5,19.92,29.83,12.68,0.00,2017_18,0.34,0.42,0.03*,3.21,2.42,0.43,1.12,0.71,0.12*,0.03*,0.00,2.09,1.33,0.66,0.10,5.53,0.64,4.89,0.64,0.28,0.24,0.04,0.20,0.14,0.06*,0.04*,0.12,1.55,0.31,0.62,0.63
Males,6 - 11,23.72,38.70,17.68,#,2017_18,0.40,0.50,0.10*,4.35,3.34,0.90,1.37,0.90,0.15*,0.01*,0.01*,1.95,1.14,0.72,0.06,7.57,0.96,6.61,0.75,0.27,0.24,0.02,0.22,0.17,0.04,0.06,0.20,1.19,0.25,0.64,0.30
Males,12 - 19,30.12,39.27,20.72,0.09*,2017_18,0.45,0.43,0.06,5.96,5.02,1.69,1.93,1.08,0.25,0.06*,#,2.05,1.05,0.92,0.03*,8.12,0.94,7.18,0.98,0.42,0.38,0.04,0.29,0.24,0.05,0.05,0.22,0.88,0.19,0.39,0.30
Males,20 - 29,32.70,39.56,17.20,1.12,2017_18,0.74,0.60*,0.17*,7.13,5.63,1.93,1.97,1.41,0.20,0.11*,0.01*,1.77,0.70,1.00,0.04*,7.94,0.57,7.37,1.33,0.40,0.36,0.04,0.34,0.27,0.07,0.09,0.50,0.68,0.16,0.34,0.18
Males,30 - 39,36.39,43.18,20.84,1.32,2017_18,0.81,0.87,0.17*,8.07,6.23,2.31,2.01,1.30,0.51,0.10*,0.01*,1.62,0.56,0.94,0.06*,8.55,1.25,7.30,1.73,0.56,0.48,0.08*,0.46,0.34,0.12,0.15,0.57,0.94,0.25*,0.50,0.19
Males,40 - 49,38.05,42.43,20.78,0.91,2017_18,0.62,0.99,0.07*,8.18,6.50,2.44,2.29,1.14,0.53,0.08*,0.02*,1.80,0.61,1.02,0.08*,7.82,0.87,6.94,1.56,0.45,0.39,0.06,0.43,0.30,0.13*,0.14,0.54,0.99,0.31,0.41,0.27
Males,50 - 59,36.80,40.98,21.02,1.17,2017_18,0.66,1.03,0.08*,7.54,5.77,1.98,1.94,0.94,0.76,0.05,0.08*,1.66,0.71,0.87,0.05*,7.71,0.93,6.78,1.71,0.42,0.35,0.07,0.45,0.35,0.10,0.15,0.70,0.95,0.29,0.41,0.25
Males,60 - 69,32.51,48.50,19.14,0.63,2017_18,0.68,0.86,0.05,7.74,6.14,2.43,1.33,1.36,0.74,0.27,0.01*,1.35,0.57,0.72,0.04*,7.53,1.06,6.47,1.56,0.58,0.50,0.08,0.35,0.28,0.06,0.13,0.51,0.85,0.18,0.45,0.22
Males,70 and over,30.59,40.32,15.18,0.52,2017_18,0.67,0.95,0.02*,6.21,4.56,1.35,1.07,1.21,0.52,0.41*,#,1.56,0.93,0.54,0.06,6.28,1.19,5.09,1.69,0.56,0.49,0.07,0.42,0.31,0.11,0.13,0.57,1.31,0.37,0.65,0.29
Males,2 - 19,25.84,37.08,18.01,0.04*,2017_18,0.41,0.45,0.07,4.84,3.91,1.16,1.58,0.94,0.19,0.04,0.01*,2.03,1.14,0.80,0.05,7.39,0.88,6.50,0.83,0.34,0.31,0.04,0.25,0.20,0.05,0.05,0.19,1.12,0.23,0.52,0.37
Males,20 and over,34.69,42.33,19.16,0.98,2017_18,0.70,0.88,0.10,7.51,5.84,2.09,1.81,1.22,0.54,0.15,0.02*,1.64,0.67,0.87,0.06,7.70,0.96,6.74,1.59,0.49,0.42,0.06,0.41,0.31,0.10,0.13,0.57,0.94,0.26,0.45,0.23
Males,2 and over,32.48,41.02,18.87,0.74,2017_18,0.63,0.77,0.09,6.84,5.36,1.86,1.75,1.15,0.45,0.13,0.02*,1.74,0.79,0.85,0.05,7.62,0.94,6.68,1.40,0.45,0.39,0.06,0.37,0.28,0.09,0.11,0.47,0.98,0.25,0.47,0.27
Females,2 -5,16.73,24.09,10.59,0.00,2017_18,0.39,0.40,0.02*,2.73,1.91,0.49,0.80,0.54,0.07*,0.02*,0.00,1.82,1.20,0.50,0.11,4.63,0.75,3.88,0.66,0.21,0.18,0.03,0.21,0.13,0.07,0.06*,0.18,1.51,0.34,0.67,0.50
Females,6 - 11,24.15,34.29,16.75,0.00,2017_18,0.38,0.37,0.05*,3.51,2.71,0.65,1.12,0.74,0.18,0.01*,0.02*,1.79,1.03,0.65,0.09,6.74,0.94,5.80,0.80,0.33,0.27,0.06,0.25,0.19,0.06,0.05,0.17,1.14,0.39,0.45,0.30
Females,12 - 19,26.17,30.60,15.84,0.08,2017_18,0.33,0.46,0.03*,4.26,3.44,0.69,1.80,0.65,0.23*,0.07,#,1.32,0.61,0.66,0.03,6.28,0.74,5.53,1.05,0.38,0.33,0.04,0.26,0.19,0.06,0.10,0.32,0.80,0.14,0.45,0.21
Females,20 - 29,28.23,36.04,15.98,0.56,2017_18,0.57,0.54,0.11*,5.34,4.13,1.21,1.73,0.61,0.44,0.12*,0.01*,1.43,0.51,0.85,0.03,6.13,0.62,5.51,1.60,0.47,0.41,0.06,0.36,0.25,0.12,0.17,0.59,0.75,0.19,0.38,0.18
Females,30 - 39,28.48,31.86,15.57,0.45,2017_18,0.62,0.63,0.17,5.04,3.63,1.18,1.31,0.78,0.27,0.08*,0.01*,1.24,0.46,0.68,0.06,6.00,0.71,5.30,1.56,0.41,0.35,0.06,0.35,0.25,0.10,0.25,0.55,0.75,0.18,0.43,0.14
Females,40 - 49,27.76,34.38,17.51,0.56,2017_18,0.60,0.61,0.07*,5.22,3.95,1.15,1.67,0.78,0.24,0.09*,0.01*,1.20,0.49,0.61,0.08,5.54,0.63,4.91,1.49,0.34,0.26,0.08,0.33,0.22,0.11,0.34,0.47,0.85,0.17,0.47,0.21
Females,50 - 59,24.56,31.08,15.42,0.50,2017_18,0.46,0.75,0.04,5.27,4.03,1.34,1.29,0.61,0.59*,0.20*,#,1.26,0.52,0.62,0.08,5.47,0.71,4.76,1.50,0.40,0.35,0.05,0.34,0.25,0.09,0.14,0.63,0.81,0.23,0.42,0.16
Females,60 - 69,28.02,29.00,13.66,0.48*,2017_18,0.63,1.20,0.14*,5.79,3.82,1.27,1.11,0.73,0.51,0.19*,0.01*,1.24,0.50,0.63,0.10,5.18,0.80,4.38,1.42,0.41,0.33,0.08,0.36,0.23,0.13,0.13,0.52,0.79,0.24,0.36,0.19
Females,70 and over,22.49,29.42,12.17,0.25,2017_18,0.44,0.82,0.05*,4.75,3.44,0.95,1.06,0.80,0.39,0.21*,0.02*,1.21,0.65,0.45,0.06,5.02,0.94,4.08,1.50,0.40,0.30,0.09,0.41,0.26,0.15,0.17,0.54,1.03,0.34,0.52,0.17
Females,2 - 19,23.46,30.44,15.02,0.04,2017_18,0.36,0.42,0.04,3.68,2.87,0.63,1.36,0.65,0.18,0.04,0.01*,1.58,0.88,0.62,0.07,6.08,0.81,5.27,0.88,0.33,0.28,0.05,0.24,0.18,0.06,0.07,0.24,1.07,0.27,0.50,0.30
Females,20 and over,26.63,32.03,15.11,0.47,2017_18,0.55,0.75,0.10,5.24,3.84,1.19,1.37,0.71,0.41,0.15,0.01*,1.27,0.52,0.65,0.07,5.58,0.73,4.85,1.51,0.41,0.34,0.07,0.36,0.24,0.11,0.20,0.55,0.82,0.22,0.43,0.17
Females,2 and over,25.91,31.67,15.09,0.37,2017_18,0.51,0.67,0.08,4.89,3.62,1.06,1.37,0.70,0.36,0.12,0.01*,1.34,0.60,0.64,0.07,5.69,0.75,4.95,1.37,0.39,0.33,0.06,0.33,0.23,0.10,0.17,0.48,0.88,0.23,0.44,0.20
Males and females,2 - 19,24.68,33.84,16.55,0.04*,2017_18,0.38,0.43,0.05,4.27,3.40,0.90,1.47,0.80,0.19,0.04,0.01*,1.81,1.01,0.71,0.06,6.75,0.85,5.90,0.86,0.33,0.29,0.04,0.25,0.19,0.06,0.06,0.21,1.10,0.25,0.51,0.34
Males and females,20 and over,30.50,36.98,17.05,0.71,2017_18,0.62,0.81,0.10,6.33,4.80,1.62,1.58,0.96,0.47,0.15,0.02*,1.44,0.59,0.75,0.06,6.60,0.84,5.76,1.55,0.45,0.38,0.07,0.38,0.28,0.11,0.16,0.56,0.88,0.24,0.44,0.20
Males and females,2 and over,29.12,36.23,16.93,0.55,2017_18,0.57,0.72,0.09,5.84,4.47,1.45,1.55,0.92,0.40,0.12,0.01*,1.53,0.69,0.74,0.06,6.64,0.84,5.79,1.39,0.42,0.36,0.06,0.35,0.26,0.09,0.14,0.48,0.93,0.24,0.45,0.23
