"State","Median.Household.Income","Data_Value","region","race","proportion"
"Alabama",43900.0909090909,15.7257142857143,"South","Asian",1
"Alabama",43900.0909090909,15.7257142857143,"South","Hispanic",3.8
"Alabama",43900.0909090909,15.7257142857143,"South","Black",26.1
"Alabama",43900.0909090909,15.7257142857143,"South","White",66.9
"Alaska",65436.2727272727,15.4307692307692,"West","Asian",5.8
"Alaska",65436.2727272727,15.4307692307692,"West","Black",3.1
"Alaska",65436.2727272727,15.4307692307692,"West","Hispanic",6.3
"Alaska",65436.2727272727,15.4307692307692,"West","White",63
"Arizona",51246,12.4744186046512,"West","Black",3.9
"Arizona",51246,12.4744186046512,"West","Hispanic",30.4
"Arizona",51246,12.4744186046512,"West","White",56.7
"Arizona",51246,12.4744186046512,"West","Asian",2.9
"Arkansas",42423,15.7581395348837,"South","Black",15.1
"Arkansas",42423,15.7581395348837,"South","White",74.1
"Arkansas",42423,15.7581395348837,"South","Asian",1.1
"Arkansas",42423,15.7581395348837,"South","Hispanic",6.8
"California",60110.6363636364,16.3130434782609,"West","Black",5.6
"California",60110.6363636364,16.3130434782609,"West","Asian",13.3
"California",60110.6363636364,16.3130434782609,"West","Hispanic",38.3
"California",60110.6363636364,16.3130434782609,"West","White",39.2
"Colorado",62674.7272727273,8.68064516129032,"West","Hispanic",20.9
"Colorado",62674.7272727273,8.68064516129032,"West","Asian",3
"Colorado",62674.7272727273,8.68064516129032,"West","White",69.6
"Colorado",62674.7272727273,8.68064516129032,"West","Black",3.9
"Connecticut",67480.8181818182,13.4488372093023,"Northeast","Black",9.5
"Connecticut",67480.8181818182,13.4488372093023,"Northeast","Hispanic",14.3
"Connecticut",67480.8181818182,13.4488372093023,"Northeast","White",70.1
"Connecticut",67480.8181818182,13.4488372093023,"Northeast","Asian",3.9
"Delaware",55750,15.2627906976744,"South","Hispanic",8.4
"Delaware",55750,15.2627906976744,"South","White",64.9
"Delaware",55750,15.2627906976744,"South","Asian",3.5
"Delaware",55750,15.2627906976744,"South","Black",20.7
"Florida",47723.5454545455,12.2511627906977,"South","Hispanic",23.6
"Florida",47723.5454545455,12.2511627906977,"South","White",56.7
"Florida",47723.5454545455,12.2511627906977,"South","Asian",2.6
"Florida",47723.5454545455,12.2511627906977,"South","Black",15
"Georgia",50083.5454545455,13.4857142857143,"South","Asian",3.5
"Georgia",50083.5454545455,13.4857142857143,"South","Black",30.2
"Georgia",50083.5454545455,13.4857142857143,"South","Hispanic",8.9
"Georgia",50083.5454545455,13.4857142857143,"South","White",55.2
"Hawaii",65678.3636363636,12.4604651162791,"West","Asian",38
"Hawaii",65678.3636363636,12.4604651162791,"West","White",22.2
"Hawaii",65678.3636363636,12.4604651162791,"West","Black",1.4
"Hawaii",65678.3636363636,12.4604651162791,"West","Hispanic",9.4
"Idaho",51176,10.506976744186,"West","Black",1
"Idaho",51176,10.506976744186,"West","Asian",1.1
"Idaho",51176,10.506976744186,"West","White",83.6
"Idaho",51176,10.506976744186,"West","Hispanic",11.5
"Illinois",56061.1818181818,13.7076923076923,"Midwest","Black",14
"Illinois",56061.1818181818,13.7076923076923,"Midwest","Hispanic",16.3
"Illinois",56061.1818181818,13.7076923076923,"Midwest","Asian",4.8
"Illinois",56061.1818181818,13.7076923076923,"Midwest","White",62.8
"Indiana",49756.5454545455,14.2942857142857,"Midwest","Black",8.9
"Indiana",49756.5454545455,14.2942857142857,"Midwest","Asian",1.8
"Indiana",49756.5454545455,14.2942857142857,"Midwest","White",81
"Indiana",49756.5454545455,14.2942857142857,"Midwest","Hispanic",6.1
"Iowa",55208.6363636364,14.2193548387097,"Midwest","Hispanic",5.2
"Iowa",55208.6363636364,14.2193548387097,"Midwest","Asian",2.1
"Iowa",55208.6363636364,14.2193548387097,"Midwest","Black",2.9
"Iowa",55208.6363636364,14.2193548387097,"Midwest","White",88.1
"Kansas",51548.3636363636,12.4230769230769,"Midwest","Black",5.3
"Kansas",51548.3636363636,12.4230769230769,"Midwest","Hispanic",11
"Kansas",51548.3636363636,12.4230769230769,"Midwest","White",77.7
"Kansas",51548.3636363636,12.4230769230769,"Midwest","Asian",2.3
"Kentucky",43106.4545454545,16.8395348837209,"South","Hispanic",2.9
"Kentucky",43106.4545454545,16.8395348837209,"South","White",86.3
"Kentucky",43106.4545454545,16.8395348837209,"South","Asian",1
"Kentucky",43106.4545454545,16.8395348837209,"South","Black",7.6
"Louisiana",41703.9090909091,14.6588235294118,"South","Black",31.9
"Louisiana",41703.9090909091,14.6588235294118,"South","Hispanic",4.4
"Louisiana",41703.9090909091,14.6588235294118,"South","White",60.2
"Louisiana",41703.9090909091,14.6588235294118,"South","Asian",1.7
"Maine",49744.2727272727,13.4116279069767,"Northeast","Hispanic",1.2
"Maine",49744.2727272727,13.4116279069767,"Northeast","White",94.2
"Maine",49744.2727272727,13.4116279069767,"Northeast","Asian",1
"Maine",49744.2727272727,13.4116279069767,"Northeast","Black",1.1
"Maryland",71369,13.6790697674419,"South","Asian",5.9
"Maryland",71369,13.6790697674419,"South","Black",28.8
"Maryland",71369,13.6790697674419,"South","Hispanic",8.7
"Maryland",71369,13.6790697674419,"South","White",53.6
"Massachusetts",65449.9090909091,13.0627906976744,"Northeast","Asian",5.7
"Massachusetts",65449.9090909091,13.0627906976744,"Northeast","White",75.1
"Massachusetts",65449.9090909091,13.0627906976744,"Northeast","Black",6.3
"Massachusetts",65449.9090909091,13.0627906976744,"Northeast","Hispanic",10.4
"Michigan",52189.0909090909,13.5093023255814,"Midwest","Black",13.8
"Michigan",52189.0909090909,13.5093023255814,"Midwest","Asian",2.5
"Michigan",52189.0909090909,13.5093023255814,"Midwest","White",76.5
"Michigan",52189.0909090909,13.5093023255814,"Midwest","Hispanic",4.7
"Minnesota",62995.7272727273,12.7666666666667,"Midwest","Black",5.3
"Minnesota",62995.7272727273,12.7666666666667,"Midwest","Hispanic",4.8
"Minnesota",62995.7272727273,12.7666666666667,"Midwest","Asian",4.3
"Minnesota",62995.7272727273,12.7666666666667,"Midwest","White",82.3
"Mississippi",38358.4545454545,16.1885714285714,"South","Black",37.5
"Mississippi",38358.4545454545,16.1885714285714,"South","Asian",1
"Mississippi",38358.4545454545,16.1885714285714,"South","White",57.9
"Mississippi",38358.4545454545,16.1885714285714,"South","Hispanic",2.5
"Missouri",51327.1818181818,13.974358974359,"Midwest","Hispanic",3.8
"Missouri",51327.1818181818,13.974358974359,"Midwest","Asian",1.8
"Missouri",51327.1818181818,13.974358974359,"Midwest","Black",11
"Missouri",51327.1818181818,13.974358974359,"Midwest","White",80.9
"Montana",47879.6363636364,10.8837209302326,"West","Black",1
"Montana",47879.6363636364,10.8837209302326,"West","Hispanic",3.3
"Montana",47879.6363636364,10.8837209302326,"West","White",87.4
"Montana",47879.6363636364,10.8837209302326,"West","Asian",1
"Nebraska",55244.9090909091,13.9657142857143,"Midwest","Hispanic",9.6
"Nebraska",55244.9090909091,13.9657142857143,"Midwest","White",81.4
"Nebraska",55244.9090909091,13.9657142857143,"Midwest","Asian",2.1
"Nebraska",55244.9090909091,13.9657142857143,"Midwest","Black",4.4
"Nevada",52672.4545454545,12.4457142857143,"West","Black",7.9
"Nevada",52672.4545454545,12.4457142857143,"West","Hispanic",27.6
"Nevada",52672.4545454545,12.4457142857143,"West","White",52.6
"Nevada",52672.4545454545,12.4457142857143,"West","Asian",7.4
"New Hampshire",69807.6363636364,13.2651162790698,"Northeast","Hispanic",3.1
"New Hampshire",69807.6363636364,13.2651162790698,"Northeast","White",91.8
"New Hampshire",69807.6363636364,13.2651162790698,"Northeast","Asian",2.2
"New Hampshire",69807.6363636364,13.2651162790698,"Northeast","Black",1
"New Jersey",66864.7272727273,13.7483870967742,"Northeast","Asian",8.7
"New Jersey",66864.7272727273,13.7483870967742,"Northeast","Black",12.4
"New Jersey",66864.7272727273,13.7483870967742,"Northeast","Hispanic",18.7
"New Jersey",66864.7272727273,13.7483870967742,"Northeast","White",58
"New Mexico",44293.9090909091,13.3232558139535,"West","Asian",1.1
"New Mexico",44293.9090909091,13.3232558139535,"West","White",39.5
"New Mexico",44293.9090909091,13.3232558139535,"West","Black",2
"New Mexico",44293.9090909091,13.3232558139535,"West","Hispanic",47.2
"New York",54235.6363636364,12.7023255813953,"Northeast","Black",14.1
"New York",54235.6363636364,12.7023255813953,"Northeast","Asian",7.7
"New York",54235.6363636364,12.7023255813953,"Northeast","White",57.3
"New York",54235.6363636364,12.7023255813953,"Northeast","Hispanic",18.2
"North Carolina",46373.8181818182,14.0302325581395,"South","Black",21
"North Carolina",46373.8181818182,14.0302325581395,"South","Hispanic",8.6
"North Carolina",46373.8181818182,14.0302325581395,"South","Asian",2.3
"North Carolina",46373.8181818182,14.0302325581395,"South","White",64.8
"North Dakota",54265.6363636364,13.0162790697674,"Midwest","Black",1.7
"North Dakota",54265.6363636364,13.0162790697674,"Midwest","Asian",1.11111111111111
"North Dakota",54265.6363636364,13.0162790697674,"Midwest","White",87.5
"North Dakota",54265.6363636364,13.0162790697674,"Midwest","Hispanic",2.3
"Ohio",50317.2727272727,13.0483870967742,"Midwest","Hispanic",3.3
"Ohio",50317.2727272727,13.0483870967742,"Midwest","Asian",2
"Ohio",50317.2727272727,13.0483870967742,"Midwest","Black",11.9
"Ohio",50317.2727272727,13.0483870967742,"Midwest","White",80.8
"Oklahoma",47030.0909090909,15.0488372093023,"South","Black",7
"Oklahoma",47030.0909090909,15.0488372093023,"South","Hispanic",9.4
"Oklahoma",47030.0909090909,15.0488372093023,"South","White",68.1
"Oklahoma",47030.0909090909,15.0488372093023,"South","Asian",2
"Oregon",55375.7272727273,15.6333333333333,"West","Hispanic",12.1
"Oregon",55375.7272727273,15.6333333333333,"West","White",77.8
"Oregon",55375.7272727273,15.6333333333333,"West","Asian",3.9
"Oregon",55375.7272727273,15.6333333333333,"West","Black",2
"Pennsylvania",54606.1818181818,12.9444444444444,"Northeast","Black",10
"Pennsylvania",54606.1818181818,12.9444444444444,"Northeast","Hispanic",6.2
"Pennsylvania",54606.1818181818,12.9444444444444,"Northeast","White",79
"Pennsylvania",54606.1818181818,12.9444444444444,"Northeast","Asian",2.8
"Rhode Island",56389.7272727273,13.4651162790698,"Northeast","Asian",3.1
"Rhode Island",56389.7272727273,13.4651162790698,"Northeast","Black",5.1
"Rhode Island",56389.7272727273,13.4651162790698,"Northeast","Hispanic",13.6
"Rhode Island",56389.7272727273,13.4651162790698,"Northeast","White",75.1
"South Carolina",46249.0909090909,14.2441860465116,"South","Asian",1.2
"South Carolina",46249.0909090909,14.2441860465116,"South","Black",27.4
"South Carolina",46249.0909090909,14.2441860465116,"South","Hispanic",4.9
"South Carolina",46249.0909090909,14.2441860465116,"South","White",64.2
"South Dakota",51378.0909090909,13.0794871794872,"Midwest","White",84.1
"South Dakota",51378.0909090909,13.0794871794872,"Midwest","Asian",1.1
"South Dakota",51378.0909090909,13.0794871794872,"Midwest","Black",1.4
"South Dakota",51378.0909090909,13.0794871794872,"Midwest","Hispanic",3
"Tennessee",45450.9090909091,16.3348837209302,"South","Asian",1.4
"Tennessee",45450.9090909091,16.3348837209302,"South","Black",16.4
"Tennessee",45450.9090909091,16.3348837209302,"South","Hispanic",4.8
"Tennessee",45450.9090909091,16.3348837209302,"South","White",75.3
"Texas",51438.0909090909,15.6051282051282,"South","Asian",4.2
"Texas",51438.0909090909,15.6051282051282,"South","Black",11.2
"Texas",51438.0909090909,15.6051282051282,"South","Hispanic",38.3
"Texas",51438.0909090909,15.6051282051282,"South","White",44.3
"Utah",62259,8.56923076923077,"West","Asian",2
"Utah",62259,8.56923076923077,"West","Black",1
"Utah",62259,8.56923076923077,"West","Hispanic",13.1
"Utah",62259,8.56923076923077,"West","White",79.9
"Vermont",56648.6363636364,12.453488372093,"Northeast","Asian",1.33333333333333
"Vermont",56648.6363636364,12.453488372093,"Northeast","Black",1
"Vermont",56648.6363636364,12.453488372093,"Northeast","Hispanic",1.3
"Vermont",56648.6363636364,12.453488372093,"Northeast","White",94.1
"Virginia",63633,15.841935483871,"South","Asian",5.9
"Virginia",63633,15.841935483871,"South","Black",19
"Virginia",63633,15.841935483871,"South","Hispanic",8.3
"Virginia",63633,15.841935483871,"South","White",64.1
"Washington",62807.4545454545,14.3933333333333,"West","Asian",7.6
"Washington",62807.4545454545,14.3933333333333,"West","Black",3
"Washington",62807.4545454545,14.3933333333333,"West","Hispanic",11.6
"Washington",62807.4545454545,14.3933333333333,"West","White",71.6
"West Virginia",42092.5454545455,15.6604651162791,"South","Asian",1
"West Virginia",42092.5454545455,15.6604651162791,"South","Black",3.1
"West Virginia",42092.5454545455,15.6604651162791,"South","Hispanic",1
"West Virginia",42092.5454545455,15.6604651162791,"South","White",93.3
"Wisconsin",54850.7272727273,12.5307692307692,"Midwest","Asian",2.4
"Wisconsin",54850.7272727273,12.5307692307692,"Midwest","Black",5.9
"Wisconsin",54850.7272727273,12.5307692307692,"Midwest","Hispanic",6.1
"Wisconsin",54850.7272727273,12.5307692307692,"Midwest","White",83.1
"Wyoming",54607.3636363636,10.1641025641026,"West","Asian",1
"Wyoming",54607.3636363636,10.1641025641026,"West","Black",1
"Wyoming",54607.3636363636,10.1641025641026,"West","Hispanic",9.3
"Wyoming",54607.3636363636,10.1641025641026,"West","White",85.2
"National",53985.48,13.6186341477803,"National","Asian",3.84288888888889
"National",53985.48,13.6186341477803,"National","Black",10.036
"National",53985.48,13.6186341477803,"National","White",70.782
"National",53985.48,13.6186341477803,"National","Hispanic",10.99
